,Data,Sleep_Stage,Cata,Sample_number,Area
0,0.8895583503948523,Nrem,Recall,5,Cerebral EEG
0,0.8796507213363706,Rem,Recall,5,Cerebral EEG
0,0.8230308151355918,Wakefulness,Sensitivity,5,Cerebral EEG
0,0.8895583503948523,Nrem,Sensitivity,5,Cerebral EEG
0,0.8796507213363706,Rem,Sensitivity,5,Cerebral EEG
0,0.9129707537128086,Wakefulness,Specificity,5,Cerebral EEG
0,0.8380446858412541,Nrem,Specificity,5,Cerebral EEG
0,0.988538369173671,Rem,Specificity,5,Cerebral EEG
0,0.8237999155365774,Wakefulness,Precision,5,Cerebellar EEG
0,0.7036802921758674,Nrem,Precision,5,Cerebellar EEG
